Date and time of GPS data in UTC, FileName GPS signal acquisition time
Date (mm/dd/yyyy),Time,Num Satellites,Position Uncertainty (m),Latitude (Deg N),Longitude (Deg W),Speed (kts),Heading (Deg N),Course (Deg N),Volts port,Amps port,charge (%) port,StatorTemp (C) port,PCBTep (C) port,Error Code port,Volts stbd,Amps stbd,charge (%) stbd,StatorTemp (C) stbd,PCBTep (C) stbd,Error Code stbd
01/18/2022,21:04:07.598,16,0.8,30.3526,-89.6302,-0.0276272,69.421,320.711,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:08.599,16,0.8,30.3526,-89.6302,-0.0304259,69.461,333.435,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:09.598,16,0.8,30.3526,-89.6302,-0.0344449,69.473,343.61,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:10.599,16,0.8,30.3526,-89.6302,-0.0496726,69.451,329.421,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:11.598,16,0.8,30.3526,-89.6302,-0.0550488,69.436,317.862,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:12.598,16,0.8,30.3526,-89.6302,-0.0318813,69.43,322.431,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:14.598,16,0.8,30.3526,-89.6302,0.0320586,69.438,345.964,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:15.598,16,0.8,30.3526,-89.6302,0.0400733,69.434,345.964,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:16.598,16,0.8,30.3526,-89.6302,0.0313435,69.444,352.875,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:17.598,16,0.8,30.3526,-89.6302,0.0467331,69.453,343.072,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:18.598,16,0.8,30.3526,-89.6302,0.0455041,69.484,340.017,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:19.598,16,0.8,30.3526,-89.6302,-0.0420517,69.49,326.31,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:20.599,16,0.8,30.3526,-89.6302,-0.0393598,69.458,327.095,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:21.598,16,0.8,30.3526,-89.6302,-0.0291576,69.432,306.87,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:22.598,16,0.8,30.3526,-89.6302,-0.0252699,69.407,292.62,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:24.799,16,0.8,30.3526,-89.6302,-0.0183381,69.398,302.005,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:04:25.600,16,0.8,30.3526,-89.6302,-0.0136069,69.386,270,0,0,0,0,0,0,0,0,0,0,0,0
